M09,151436,3.5462
M09,144608,3.5678
M09,151510,3.5720
M09,152131,4.1136
M09,152539,4.4894
W09,149257,3.5306
W09,155510,3.5448
W09,148692,4.0942
W09,148689,4.1190
W09,148690,4.3646
M10,146172,3.2698
M10,154753,3.3218
M10,151010,3.5192
M10,154181,3.5272
W10,139426,3.3352
W10,151408,3.3718
W10,151269,3.3960
W10,149611,3.4316
W10,151602,3.5254
W10,152795,4.0767
W10,154161,4.2222
M11,139100,3.1046
M11,138563,3.1104
M11,136134,3.2996
M11,150731,3.4220
M11,139935,3.4276
W11,146918,3.1924
W11,146978,3.2888
W11,146383,3.2934
W11,147337,3.3548
W11,150526,3.3718
W11,139930,3.3884
W11,149060,3.4254
W11,152433,3.4938
W11,144609,4.0712
M12,152773,3.1954
M12,142637,3.2168
M12,150849,3.2220
M12,142636,3.2272
M12,144507,3.2440
M12,145639,3.2592
M12,140902,3.3608
M12,145242,3.3814
W12,139427,3.2504
W12,147239,3.2547
W12,150657,3.2698
W12,139778,3.2776
W12,146397,3.2958
W12,137773,3.3082
W12,152559,3.3230
W12,150858,3.3272
W12,150523,3.5250
W12,142964,3.5578
M13,139407,2.5182
M13,150456,2.5924
M13,140596,3.0746
M13,139627,3.1512
M13,145022,3.1836
M13,141631,3.3020
W13,142111,3.1516
W13,141598,3.1572
W13,142710,3.1656
W13,154122,3.2680
W13,141491,3.3016
W13,136133,3.3018
W13,140900,3.3052
W13,140255,3.3114
W13,144602,3.4366
M14,130765,2.5418
M14,134264,3.0038
W14,137181,3.2566
W14,137183,3.2722
W14,130703,3.3010
W14,150355,3.3500
M15,143002,2.4116
M15,142134,2.5724
M15,140899,2.5938
M15,140202,3.0338
M15,131605,3.1058
W15,141201,3.3124
